Complex ID,PUMA
398,4108
399,4108
403,4165
404,4165
405,4165
407,4121
409,4121
413,4121
414,4121
416,4212
417,4212
418,4212
419,4212
420,4212
421,4212
422,4212
423,4211
424,4211
425,4263
426,4263
427,4263
428,4263
429,4263
430,4221
431,4221
432,4221
433,4221
434,4221
436,4110
437,4110
438,4110
439,4110
440,4110
441,4110
442,4212
443,4212
444,4211
445,4211
446,4211
447,4407
448,4404
449,4403
450,4404
451,4404
452,4403
453,4403
455,4402
456,4402
457,4402
458,4402
459,4402
460,4402
461,4402
463,4402
464,4402
471,4104
475,4111
476,4108
477,4108
501,4501
502,4501
503,4501
504,4501
505,4502
506,4502
507,4502
508,4502
509,4502
510,4502
511,4503
512,4503
513,4503
514,4503
515,4503
516,4503
517,4503
518,4503
519,4503
522,4503
523,4503
601,4104
602,4165
603,4221
604,4204
605,4112
606,4402
607,4165
608,4306
609,4165
610,4165
611,4165
612,4165
613,4108
614,4107
615,4311
616,4404
617,4306
618,4104
619,4121
620,4302
621,4316
622,4121
623,4121
624,4121
625,4103
626,4309
627,4303
628,4121
629,4301
630,4304
635,4121
636,4302
271,4401
272,4401
273,4401
276,4165
277,4165
278,4412
279,4412
280,4409
282,4402
283,4301
284,4301
286,4301
287,4301
288,4303
289,4303
290,4302
291,4302
292,4302
293,4208
294,4208
295,4208
296,4112
297,4112
298,4112
299,4112
300,4112
301,4112
303,4112
304,4109
305,4109
306,4109
307,4109
308,4107
309,4107
310,4107
311,4107
312,4107
313,4107
314,4107
316,4165
318,4165
319,4165
320,4104
321,4104
323,4121
324,4121
325,4121
326,4121
327,4121
328,4121
329,4121
333,4121
334,4302
336,4302
337,4302
339,4306
340,4306
341,4306
343,4309
344,4309
345,4309
346,4316
347,4316
348,4316
349,4316
350,4305
351,4305
352,4305
353,4309
354,4309
355,4309
356,4317
357,4317
358,4317
359,4314
360,4210
361,4210
362,4210
363,4210
364,4210
365,4210
366,4209
367,4209
368,4209
369,4209
370,4221
371,4221
372,4221
373,4221
374,4221
375,4221
376,4221
377,4221
378,4207
379,4207
380,4208
381,4207
382,4207
383,4205
384,4205
385,4205
386,4204
387,4204
388,4204
391,4221
392,4111
393,4111
394,4111
395,4111
396,4108
397,4108
141,4308
143,4112
144,4112
145,4112
146,4112
147,4112
149,4112
150,4109
151,4109
152,4109
153,4109
154,4110
155,4110
156,4107
157,4107
158,4107
159,4107
160,4107
162,4104
164,4165
165,4104
167,4121
168,4121
169,4121
173,4302
175,4302
176,4302
177,4302
179,4303
180,4303
181,4303
182,4316
183,4316
185,4305
186,4305
187,4305
188,4305
189,4305
190,4410
191,4410
192,4410
193,4410
194,4410
195,4410
196,4410
197,4410
198,4414
199,4414
200,4414
201,4414
202,4414
203,4414
204,4414
205,4414
206,4414
207,4414
208,4414
209,4414
210,4207
211,4207
212,4207
213,4205
214,4205
215,4205
216,4205
217,4204
218,4204
220,4110
221,4401
222,4108
223,4108
224,4165
225,4165
228,4165
231,4103
232,4103
234,4103
235,4302
236,4302
237,4306
238,4306
240,4306
241,4307
242,4307
243,4312
244,4312
245,4314
246,4312
247,4312
248,4312
249,4312
250,4315
251,4315
252,4313
253,4313
254,4412
255,4412
256,4412
257,4412
258,4409
259,4404
260,4406
261,4406
262,4406
263,4406
264,4404
265,4404
266,4404
268,4402
269,4402
270,4401
1,4401
2,4401
3,4401
4,4401
5,4401
6,4401
8,4107
9,4165
10,4165
13,4165
14,4165
16,4121
17,4121
20,4121
22,4121
26,4302
28,4306
30,4307
31,4307
32,4307
33,4307
34,4307
35,4307
36,4310
37,4310
38,4310
39,4310
41,4308
42,4309
43,4309
44,4314
45,4314
46,4314
47,4314
48,4314
49,4314
50,4314
51,4315
52,4315
53,4315
54,4315
55,4313
56,4313
57,4313
58,4313
59,4312
60,4312
61,4312
62,4312
64,4311
65,4311
66,4311
67,4311
68,4311
69,4311
70,4313
71,4307
72,4312
74,4311
75,4311
76,4311
77,4311
78,4311
79,4315
80,4409
81,4409
82,4409
83,4409
84,4409
85,4409
86,4305
87,4305
88,4305
89,4305
90,4305
91,4305
93,4316
94,4304
95,4304
96,4304
97,4303
98,4303
99,4301
100,4301
101,4301
103,4103
107,4121
108,4405
109,4405
110,4405
111,4405
113,4304
114,4304
118,4165
119,4103
120,4301
122,4301
123,4301
124,4301
125,4301
126,4304
127,4304
129,4405
130,4304
131,4304
133,4305
134,4316
135,4316
136,4316
137,4305
138,4318
