year,month,period,ridership,baseline_ridership,baseline_comparison,omny_pct
2020,7,2020-07-01,32469779.0,140936910.6,0.2304,5.27
2020,8,2020-08-01,35126185.0,140665215.5,0.2497,6.67
2020,9,2020-09-01,42746715.0,144077527.0,0.2967,7.08
2020,10,2020-10-01,48110815.0,155563058.5,0.3093,8.16
2020,11,2020-11-01,43776425.0,144160312.5,0.3037,9.45
2020,12,2020-12-01,43832969.0,143465512.7,0.3055,10.66
2021,1,2021-01-01,41323232.0,136991929.3,0.3016,12.18
2021,2,2021-02-01,39357932.0,131345097.4,0.2997,14.1
2021,3,2021-03-01,50977692.0,150521138.1,0.3387,15.18
2021,4,2021-04-01,53398624.0,146412218.2,0.3647,16.81
2021,5,2021-05-01,58559313.0,152456105.3,0.3841,18.77
2021,6,2021-06-01,65567404.0,147970883.4,0.4431,20.57
2021,7,2021-07-01,67028849.0,140936910.6,0.4756,22.33
2021,8,2021-08-01,66494230.0,140665215.5,0.4727,23.13
2021,9,2021-09-01,73991545.0,144077527.0,0.5136,23.68
2021,10,2021-10-01,83580455.0,155563058.5,0.5373,24.29
2021,11,2021-11-01,82478579.0,144160312.5,0.5721,25.29
2021,12,2021-12-01,78747960.0,143465512.7,0.5489,25.15
2022,1,2022-01-01,63848203.0,136991929.3,0.4661,25.73
2022,2,2022-02-01,70144322.0,131345097.4,0.534,27.8
2022,3,2022-03-01,87702733.0,150521138.1,0.5827,29.24
2022,4,2022-04-01,83693150.0,146412218.2,0.5716,31.12
2022,5,2022-05-01,88116628.0,152456105.3,0.578,32.1
2022,6,2022-06-01,88341252.0,147970883.4,0.597,34.25
2022,7,2022-07-01,80861162.0,140936910.6,0.5737,36.32
2022,8,2022-08-01,83627180.0,140665215.5,0.5945,36.93
2022,9,2022-09-01,91320687.0,144077527.0,0.6338,38.13
2022,10,2022-10-01,95529367.0,155563058.5,0.6141,38.73
2022,11,2022-11-01,91510554.0,144160312.5,0.6348,39.54
2022,12,2022-12-01,92422002.0,143465512.7,0.6442,40.25
2023,1,2023-01-01,89460232.0,136991929.3,0.653,41.2
2023,2,2023-02-01,84910036.0,131345097.4,0.6465,42.04
2023,3,2023-03-01,101692017.0,150521138.1,0.6756,42.04
2023,4,2023-04-01,94623789.0,146412218.2,0.6463,43.42
2023,5,2023-05-01,104938421.0,152456105.3,0.6883,43.54
2023,6,2023-06-01,98119795.0,147970883.4,0.6631,45.33
2023,7,2023-07-01,91607473.0,140936910.6,0.65,47.06
2023,8,2023-08-01,94687688.0,140665215.5,0.6731,46.98
2023,9,2023-09-01,96016343.0,144077527.0,0.6664,47.3
2023,10,2023-10-01,105262762.0,155563058.5,0.6767,47.02
2023,11,2023-11-01,99403237.0,144160312.5,0.6895,48.44
2023,12,2023-12-01,98004987.0,143465512.7,0.6831,49.78
2024,1,2024-01-01,92494907.0,136991929.3,0.6752,50.21
2024,2,2024-02-01,91301609.0,131345097.4,0.6951,51.04
2024,3,2024-03-01,101077921.0,150521138.1,0.6715,51.26
2024,4,2024-04-01,100320635.0,146412218.2,0.6852,51.83
2024,5,2024-05-01,106949452.0,152456105.3,0.7015,52.88
2024,6,2024-06-01,96949953.0,147970883.4,0.6552,55.51
2024,7,2024-07-01,95147393.0,140936910.6,0.6751,57.35
2024,8,2024-08-01,93862875.0,140665215.5,0.6673,57.89
2024,9,2024-09-01,104537389.0,144077527.0,0.7256,62.43
2024,10,2024-10-01,114716557.0,155563058.5,0.7374,63.51
2024,11,2024-11-01,103638632.0,144160312.5,0.7189,64.7
2024,12,2024-12-01,104982032.0,143465512.7,0.7318,65.21
2025,1,2025-01-01,99972013.0,136991929.3,0.7298,66.61
2025,2,2025-02-01,95094316.0,131345097.4,0.724,68.42
2025,3,2025-03-01,109473978.0,150521138.1,0.7273,69.75
2025,4,2025-04-01,111195421.0,146412218.2,0.7595,72.03
2025,5,2025-05-01,69743491.0,152456105.3,0.4575,69.78
